id	type	readings	context
l-3675_2	graph	moi (HPVFGASR)| moy (M)	Entre moi et li grant courous 12v°b
l-3675_3	graph	li (HVFSR)| lui (PGA)| ly (M)	Entre moi et li grant courous 12v°b
l-3675_4	graph	grant (HPVGARM)| grans (FS)	Entre moi et li grant courous 12v°b
l-3675_5	graph	corroz (HV)| courous (PAS)| coros (FR)| corouz (G)| coros (R)| corrouz (M)	Entre moi et li grant courous 12v°b
l-3676_2	graph	An (H)| En (PVFGASRM)	En plaine cort et voiant tos
l-3676_3	graph	plainne (HA)| plaine (PFSR)| pleine (VGM)	En plaine cort et voiant tos
l-3676_4	graph	cort (HVFGASR)| court (PM)	En plaine cort et voiant tos
l-3676_5	semlex:major	et (HPVGASRM)| dist (F)	En plaine cort et voiant tos
l-3676_6	semlex:major	voiant (HPSRA)| oiant (FGAM)| devant (V)	En plaine cort et voiant tos
l-3676_7	graph	veant (H)| voiant (PSRA)	En plaine cort et voiant tos
l-3676_8	graph	toz (HV)| tous (PS)| tos (FAR)| touz (GM)	En plaine cort et voiant tos
l-3677_3	morsynt	Me (HPVGASMMod)| Li (R)	Me dist que por vos l' oi traie
l-3677_4	graph	M' (H)| Me (PVGASMMod)	Me dist que por vos l' oi traie
l-3677_6	semlex:major	mist (HPV)| dist (GASRMMod)	Me dist que por vos l' oi traie
l-3677_7	semlex:minor:constrmorph	amist (H)| mist (PV)	Me dist que por vos l' oi traie
l-3677_9	semlex:minor:gramm	que (HVFGASRM)| sus (P)	Me dist que por vos l' oi traie
l-3677_10	graph	por (HVFGAR)| pour (PSM)	Me dist que por vos l' oi traie
l-3677_11	graph	vos (HVGAR)| vous (PFSM)	Me dist que por vos l' oi traie
l-3677_12	morsynt	oi (HVGP)| avoie (F)| ai (ASRM)	Me dist que por vos l' oi traie
l-3677_13	graph	oi (HVG)| oy (P)	Me dist que por vos l' oi traie
l-3677_14	graph	ai (ASR)| ay (M)	Me dist que por vos l' oi traie
l-3677_15	graph	traie (HVFGASR)| traye (PM)	Me dist que por vos l' oi traie
l-3678_2	graph	je (HPGASM)| ge (V)| jo (FR)	Et je n' oi consel ne aie
l-3678_3	graph	oi (HVFGA)| oy (PM)| euc (SR)	Et je n' oi consel ne aie
l-3678_4	semlex:minor:syn	consel (HPFGRMA)| secors (V)| confort (S)	Et je n' oi consel ne aie
